ca,k,MAP,A,w,E,g1,cica,p0,lambda,EP
400,0.05,1825,12.77167892,53.36032725,0.008055925,5.568901755,0.774936439,0.334448921,0.003631837,0.805592463
400,0.1,1825,13.26394141,52.53117676,0.009314847,6.460597166,0.807880507,0.082213635,0.004775511,0.931484703
400,0.025,2007.5,11.97010453,53.2370283,0.006437161,4.426936128,0.722960008,1.129884336,0.002473276,0.585196416
400,0.05,2007.5,12.90571537,53.92862986,0.008566157,5.93224518,0.784386455,0.340370107,0.003999056,0.778741571
400,0.1,2007.5,13.41962491,53.09166658,0.01009259,7.016029952,0.819151327,0.085232832,0.005462912,0.917508219
400,0.025,2190,12.06025892,53.63792045,0.006666133,4.589008636,0.729071091,1.136003799,0.002601882,0.555511096
400,0.05,2190,13.01752857,54.42854117,0.009034889,6.266323311,0.792319367,0.345093049,0.004348889,0.752907381
400,0.1,2190,13.54979113,53.60074211,0.010837048,7.548303966,0.828637505,0.087797761,0.006157777,0.903087373
400,0.025,2372.5,12.13664918,53.98557537,0.006870061,4.733482996,0.734266998,1.140740067,0.002718583,0.528466205
400,0.05,2372.5,13.11213297,54.87138636,0.00946635,6.574183355,0.799066466,0.348909243,0.004681265,0.728180734
400,0.1,2372.5,13.66015947,54.06949889,0.011548528,8.057456956,0.836730299,0.089970376,0.006853395,0.888348271
400,0.025,2555,12.20211532,54.28942215,0.007052786,4.863033225,0.738737342,1.144486291,0.002824905,0.503770443
400,0.05,2555,13.19315113,55.26604228,0.00986437,6.85838684,0.804870449,0.352030846,0.004996567,0.704597867
400,0.1,2555,13.75478361,54.49960346,0.012228294,8.5442679,0.843707702,0.091835012,0.007546771,0.873449575
400,0.025,2737.5,12.25884453,54.55730421,0.007217373,4.979796259,0.742623038,1.147481211,0.002922072,0.481158184
400,0.05,2737.5,13.26326956,55.61976123,0.010232364,7.121305893,0.809912973,0.354611704,0.005295404,0.682157574
400,0.1,2737.5,13.83670093,54.89415724,0.012877698,9.009609796,0.849779673,0.093452161,0.008235285,0.858513196
400,0.025,2920,12.30848984,54.79530616,0.007366329,5.085527166,0.746030762,1.149894803,0.003011135,0.46039558
400,0.05,2920,13.32452071,55.93848879,0.010573354,7.365053863,0.814332421,0.356765272,0.005578516,0.660834647
400,0.1,2920,13.90830281,55.25964773,0.013497702,9.454100956,0.855107204,0.094850292,0.008915132,0.843606398
400,0.025,3102.5,12.35229985,55.00815451,0.007501747,5.181691811,0.749043158,1.151858288,0.003093023,0.441279214
400,0.05,3102.5,13.37846112,56.22702701,0.010890033,7.591518578,0.818236011,0.358578732,0.005846742,0.640590151
400,0.1,3102.5,13.97135393,55.59765977,0.014089847,9.878792372,0.859816171,0.096072399,0.009585061,0.828814528
400,0.025,3285,12.39118761,55.19937245,0.007625396,5.269534931,0.751724869,1.153484608,0.003168583,0.423633111
400,0.05,3285,13.42635357,56.48989408,0.011184676,7.802302165,0.821707766,0.36010683,0.006100735,0.62137091
400,0.1,3285,14.02731059,55.91266065,0.01465523,10.28442928,0.864005858,0.09713718,0.010242566,0.814179422
400,0.025,3467.5,12.42598187,55.37228827,0.007738701,5.35005757,0.754127183,1.154829002,0.003238456,0.40730007
400,0.05,3467.5,13.46908324,56.72950629,0.011459545,7.99900154,0.82481494,0.361420371,0.006341687,0.603133969
400,0.1,3467.5,14.07721393,56.20412793,0.01519568,10.67229349,0.867756036,0.09808386,0.01088827,0.799772608
400,0.025,3650,12.45727859,55.52932475,0.007842903,5.424133779,0.756291378,1.155952042,0.003303257,0.392145165
400,0.05,3650,13.50747314,56.94925368,0.011716392,8.182854204,0.827611347,0.362546695,0.006570198,0.585819585
400,0.1,3650,14.12202214,56.47629472,0.015712176,11.04306116,0.871130843,0.098919457,0.011520087,0.785608788
800,0.05,182.5,10.84286044,43.9597174,0.000999452,0.67564617,0.32237863,0.032748579,0.000149165,0.999451892
800,0.05,365,15.70046865,46.26875232,0.001987072,1.439160336,0.499114728,0.091238694,0.000330842,0.993535777
800,0.05,547.5,18.02626635,48.69538849,0.002937568,2.245836718,0.60364435,0.12622506,0.000598974,0.979189378
800,0.05,730,19.31170223,50.61367557,0.003831277,3.031896493,0.668412545,0.145865493,0.00092724,0.957819174
800,0.05,912.5,20.10739311,52.12156493,0.004658833,3.771844455,0.711339209,0.157650496,0.001291533,0.931766673
800,0.05,1095,20.64172388,53.33443127,0.005418168,4.456782994,0.741473985,0.165146704,0.001673098,0.903027962
800,0.05,1277.5,21.02246704,54.32873108,0.006111672,5.08562229,0.763620436,0.17014796,0.002058972,0.873095961
800,0.05,1460,21.30618561,55.15821202,0.00674386,5.660801912,0.780499376,0.173602574,0.002440416,0.84298255
800,0.05,1642.5,21.52507366,55.86023949,0.007320118,6.186308997,0.793745987,0.176054679,0.002811888,0.813346395
800,0.05,1825,21.69872235,56.46249181,0.007845874,6.66656132,0.804393476,0.177824895,0.003169907,0.784587418
800,0.05,2007.5,21.83958475,56.98390765,0.008326458,7.106097119,0.813123835,0.179129989,0.003512802,0.756950766
800,0.05,2190,21.95600587,57.43963959,0.008766685,7.509107927,0.820402819,0.18010392,0.003839728,0.730557081
800,0.05,2372.5,22.05376112,57.84141305,0.00917087,7.87940338,0.826558527,0.180835763,0.004150468,0.705451507
800,0.05,2555,22.13694084,58.19806354,0.00954289,8.220439742,0.831828425,0.181390278,0.004445316,0.681635032
